column_a,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
82,4dQI4FFpcaQxgz3VlsPYI5,0.63,0.653,G,-4.594,major,0.0282,0.194,0,0.0989,0.675,119.954,174120,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,"Christmas Is Just Around The Corner (From ""Cranberry Christmas"")",Barry Manilow,In The Swing Of Christmas,https://i.scdn.co/image/9cb813465fab7e498e59b36ef1e6a262ef0d709a
83,4HMptEInOi2qAZHRh8MCMj,0.744,0.268,G,-16.925,major,0.0633,0.663,0.0513,0.118,0.7,147.322,143933,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Frosty the Snowman,Willie Nelson,Pretty Paper,https://i.scdn.co/image/720cdcacd3dd398b2757a8935983caa9bc8f3de0
84,4jDXtVGAmIqu3Fc8ODzhmb,0.382,0.558,A,-6.399,major,0.0341,0.316,0,0.115,0.178,125.512,232467,4,A major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,When You Believe (with Maren Morris),Pentatonix,Christmas Is Here!,https://i.scdn.co/image/d95f2279ad49512299646dadf9e3e11c09c94c5e
85,4kZqBZ1cihUH8SoBZ3PBrd,0.711,0.602,G,-5.698,major,0.0691,0.131,0,0.0633,0.823,110.947,215933,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,"O Come, All Ye Faithful",Pentatonix,A Pentatonix Christmas Deluxe,https://i.scdn.co/image/3329bc2e25d9a2d4908753ec0739931e13374568
86,4mS0kNelJEq1u2siN6RIrB,0.337,0.483,A,-6.517,major,0.0427,0.661,0,0.0972,0.128,164.236,192707,3,A major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,The Christmas Song (Chestnuts Roasting on an Open Fire),Whitney Houston,One Wish / The Holiday Album,https://i.scdn.co/image/cb95b4372cf4c4efdd4da66a267809130a835630
87,4nAR2gfX6f5kTbloGnp8FZ,0.504,0.604,"D#",-5.256,major,0.0258,0.474,0,0.336,0.163,86.147,254707,4,"D# major",new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Happy Xmas (War Is Over),Céline Dion,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
88,4QMZUqcREVkCdm6NH8NyQD,0.625,0.473,D,-5.242,major,0.0536,0.897,0,0.363,0.807,142.99,155413,4,D major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
89,4UEPinRjSnbWKqDVhc0QHJ,0.355,0.668,C,-8.444,major,0.0482,0.362,0.00000123,0.727,0.413,139.734,267600,4,C major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
90,4W8cUf5xe5g8si5OijFAqZ,0.687,0.643,B,-7.677,minor,0.0406,0.0222,0.0000141,0.117,0.27,147.969,189343,4,B minor,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Have Yourself a Merry Little Christmas,Mitchell Tenpenny,Have Yourself a Merry Little Christmas,https://i.scdn.co/image/0cc3639654a8ed292024e9be4ea80b45ce8afac4
91,4ymVMnhjbImQjjCq4petB2,0.573,0.78,"G#",-7.467,major,0.0283,0.0227,0,0.0927,0.718,127.132,153066,4,"G# major",new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Christmas (Baby Please Come Home),Mariah Carey,Merry Christmas,https://i.scdn.co/image/f13ce082cb050c8544fbae7c94a4ab66bdd004aa
